symbol,date_time,title,sapo,content_url,source
ACB,2025-10-23T16:33:00,"Cập nhật BCTC quý 3/2025 tối ngày 23/10: Các doanh nghiệp lớn công bố, nhiều kết quả bất ngờ","ACB báo lãi quý 3 đạt 5.382 tỷ đồng, tăng 11% so với cùng kỳ và lũy kế 9 tháng đầu năm đạt 16.072 tỷ đồng, tăng 5%. Triển lãm Giảng Võ (VEF) báo lãi quý 3 đạt 214 tỷ đồng, gấp đôi cùng kỳ và 9 tháng lãi 19.295 tỷ đồng, gấp 58 lần cùng kỳ.",https://cafef.vn/cap-nhat-bctc-quy-3-2025-sang-ngay-23-10-the-gioi-di-dong-bao-lai-gap-doi-cung-ky-pgbank-lai-tang-176-188251023000519082.chn,CafeF
ACB,2025-10-22T17:07:00,"Cập nhật BCTC quý 3/2025 tối ngày 22/10: ACB báo lãi trước thuế quý 3 gần 5.400 tỷ, công ty con của Vingroup báo lãi 9 tháng gấp 58 lần cùng kỳ","Nam Tân Uyên (NTC) ghi nhận lợi nhuận trước thuế quý 3 tăng 104% lên 151 tỷ đồng. Sông Đà Cao Cường (SCL) báo lãi trước thuế 22 tỷ đồng, tăng 1.148% so với cùng kỳ trong quý 3.",https://cafef.vn/cap-nhat-bctc-quy-3-2025-sang-ngay-22-10-techcombank-bao-lai-truoc-thue-ky-luc-loi-nhuan-nhua-tien-phong-tang-50-188251021235650003.chn,CafeF
ACB,2025-10-17T14:08:00,Bất ngờ tại công ty của nữ đại gia bí ẩn từng cầm hơn 4.000 tỷ đồng cổ phiếu ACB,"Lũy kế 9 tháng đầu năm 2025, mặc dù doanh thu giảm 18% so với cùng kỳ đạt 957 tỷ đồng, nhưng lợi nhuận sau thuế ghi nhận 191 tỷ đồng, tăng trưởng 22% so với cùng kỳ năm trước.",https://cafef.vn/bat-ngo-tai-cong-ty-cua-nu-dai-gia-bi-an-tung-cam-hon-4000-ty-dong-co-phieu-acb-18825101714091062.chn,CafeF
ACB,2025-10-02T08:53:00,Nam Long bảo lãnh khoản vay 400 tỷ đồng của công ty con tại ACB,HĐQT Đầu tư Nam Long đã phê duyệt việc bảo lãnh cho toàn bộ khoản vay 400 tỷ đồng theo Hợp đồng cấp tín dụng ký giữa VCD và ACB.,https://cafef.vn/nam-long-bao-lanh-khoan-vay-400-ty-dong-cua-cong-ty-con-tai-acb-188251002075349582.chn,CafeF
ACB,2025-08-31T10:04:00,"Hà Nội 'nắm trọn' 11/17 doanh nghiệp trị giá trên 5 tỷ USD tại Việt Nam, ACB và LPBank 'lên đời', 2 'ông lớn' nhà nước ngậm ngùi suy giảm","Có 7 cái tên đạt vốn hóa trên 10 tỷ USD. Vingroup và Vinhomes – dù đã là doanh nghiệp 5 tỷ USD từ đầu năm – nhưng với mức tăng trưởng 3 chữ số, đến nay đã có vốn hóa lần lượt là 19 tỷ USD và 16,5 tỷ USD, chỉ đứng sau Vietcombank (22 tỷ USD).",https://cafef.vn/ha-noi-nam-tron-11-17-doanh-nghiep-tri-gia-tren-5-ty-usd-tai-viet-nam-acb-va-lpbank-len-doi-2-ong-lon-nha-nuoc-ngam-ngui-suy-giam-188250831100457506.chn,CafeF
ACB,2025-07-25T11:04:00,"Cập nhật BCTC quý 2/2025 chiều ngày 25/7: Gelex, ACB lập kỷ lục, một công ty cao su báo lãi tăng tới 140%","ACB lãi sau thuế 4.881 tỷ đồng trong quý 2/2025, tăng 9%, đồng thời, đây cũng là mức lợi nhuận kỷ lục trong một quý của ACB. Lũy kế 6 tháng đầu năm, lợi nhuận ròng của PAN đạt gần 248 tỷ đồng, tăng 40% và là mức cao nhất PAN từng ghi nhận trong nửa đầu năm.",https://cafef.vn/cap-nhat-bctc-quy-2-2025-acb-the-pan-group-lap-ky-luc-ve-loi-nhuan-188250725000614223.chn,CafeF
ACB,2025-12-08 16:41,ACB: Phó TGĐ đăng ký mua 120.000 cổ phiếu,ACB: Phó TGĐ đăng ký mua 120.000 cổ phiếu,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-11-21 17:08,ACB: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ BCH Công đoàn Ngân hàng Thương mại Cổ phần Á Châu,ACB: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ BCH Công đoàn Ngân hàng Thương mại Cổ phần Á Châu,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-11-21 17:07,ACB: Báo cáo kết quả giao dịch cổ phiếu của BTGĐ và KTT,ACB: Báo cáo kết quả giao dịch cổ phiếu của BTGĐ và KTT,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-11-14 15:57,ACB: Quyết định của NHNNVN về việc bổ sung nội dung hoạt động vào Giấy phép thành lập và hoạt động,ACB: Quyết định của NHNNVN về việc bổ sung nội dung hoạt động vào Giấy phép thành lập và hoạt động,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-11-11 17:46,ACB: Nghị quyết và Biên bản kiểm phiếu bằng hình thức lấy ý kiến cổ đông bằng văn bản,ACB: Nghị quyết và Biên bản kiểm phiếu bằng hình thức lấy ý kiến cổ đông bằng văn bản,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-29 17:44,ACB: Thông báo giao dịch cổ phiếu của người nội bộ,ACB: Thông báo giao dịch cổ phiếu của người nội bộ,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-29 17:42,ACB: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ BCH Công đoàn ACB,ACB: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ BCH Công đoàn ACB,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-27 11:02,ACB: Dự thảo Nghị quyết ĐHĐCĐ thành lập công ty con,ACB: Dự thảo Nghị quyết ĐHĐCĐ thành lập công ty con,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-27 11:01,ACB: Phiếu lấy ý kiến cổ đông bằng văn bản,ACB: Phiếu lấy ý kiến cổ đông bằng văn bản,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-27 11:00,ACB: Tờ trình ĐHĐCĐ về việc thành lập công ty con,ACB: Tờ trình ĐHĐCĐ về việc thành lập công ty con,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-22 15:29,ACB: Giải trình chênh lệch LNST quý 3/2025 so với cùng kỳ năm trước,ACB: Giải trình chênh lệch LNST quý 3/2025 so với cùng kỳ năm trước,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-22 15:19,ACB đạt 16.000 tỷ đồng lợi nhuận sau 9 tháng,ACB đạt 16.000 tỷ đồng lợi nhuận sau 9 tháng,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-09 16:29,ACB khẳng định cam kết hỗ trợ doanh nghiệp tại “Hội nghị Ngành dệt may và chuỗi cung ứng – Giải pháp trong biến động”,ACB khẳng định cam kết hỗ trợ doanh nghiệp tại “Hội nghị Ngành dệt may và chuỗi cung ứng – Giải pháp trong biến động”,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-09 07:13,ACB lấy ý kiến cổ đông để lập công ty con,ACB lấy ý kiến cổ đông để lập công ty con,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-07 18:17,ACB: Thông báo ngày ĐKCC lấy ý kiến cổ đông bằng văn bản,ACB: Thông báo ngày ĐKCC lấy ý kiến cổ đông bằng văn bản,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-10-03 17:33,ACB: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền lấy ý kiến cổ đông bằng văn bản,ACB: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền lấy ý kiến cổ đông bằng văn bản,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-09-30 17:23,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 3.2025,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 3.2025,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-09-09 14:35,"ACB: Nghị quyết HĐQT số 4614.25, 4615.25, 4616.25, 4617.25 ngày 08/09/2025","ACB: Nghị quyết HĐQT số 4614.25, 4615.25, 4616.25, 4617.25 ngày 08/09/2025",https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-08-18 17:20,ACB: Thông báo ký hợp đồng kiểm toán BCTC 2025,ACB: Thông báo ký hợp đồng kiểm toán BCTC 2025,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-08-12 17:33,ACB: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ,ACB: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-07-31 16:10,ACB: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,ACB: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-07-23 11:22,ACB: Nghị quyết HĐQT về việc bổ nhiệm lại Phó TGĐ và thông báo thay đổi nhân sự,ACB: Nghị quyết HĐQT về việc bổ nhiệm lại Phó TGĐ và thông báo thay đổi nhân sự,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-07-18 14:24,"ACB: Nghị quyết HĐQT số 3745, 3747 ngày 16/07/2025  ngày 17/07/2025","ACB: Nghị quyết HĐQT số 3745, 3747 ngày 16/07/2025  ngày 17/07/2025",https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-07-01 14:08,ACB: Quyết định của NHNN về việc sửa đổi nội dung về vốn điều lệ tại Giấy phép thành lập và hoạt động,ACB: Quyết định của NHNN về việc sửa đổi nội dung về vốn điều lệ tại Giấy phép thành lập và hoạt động,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-06-27 18:23,ACB: Thông báo về việc niêm yết và giao dịch cổ phiếu thay đổi niêm yết,ACB: Thông báo về việc niêm yết và giao dịch cổ phiếu thay đổi niêm yết,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
ACB,2025-06-24 17:31,ACB: Quyết định về việc thay đổi đăng ký niêm yết,ACB: Quyết định về việc thay đổi đăng ký niêm yết,https://tcinvest.tcbs.com.vn/market-watch?symbol=ACB,TCBS
"ACB, CTG, VNM",2025-11-02T09:04:00,"Danh mục đầu tư gần 10 tỷ USD của 1 ‘cá mập' Nhà nước: Hơn 1 tỷ USD trái phiếu doanh nghiệp, đầu tư cổ phiếu ACB, VNM, CTG","Tính đến ngày 30/09/2025, công ty này đang đem hơn 132.552 tỷ đồng (chiếm 53,6% danh mục) để đi gửi ngân hàng, tăng gần 8.000 tỷ đồng so với đầu năm.",https://cafef.vn/danh-muc-dau-tu-gan-10-ty-usd-cua-1-ca-map-nha-nuoc-hon-1-ty-usd-trai-phieu-doanh-nghiep-dau-tu-co-phieu-acb-vnm-ctg-188251102090506224.chn,CafeF
"ACB, FPT, VIB",2025-09-12T14:06:00,"10 doanh nghiệp lãi nhất Việt Nam: Viettel soán ngôi PVN, ACB lần đầu lọt top, Hòa Phát tái xuất trong khi VIB và FPT 'biến mất'","Hòa Phát ở vị trí thứ 6, sau một năm vắng bóng, trong khi Vinamilk lại ghi nhận sự sụt giảm đáng kể xuống hạng 9.",https://cafef.vn/10-doanh-nghiep-lai-nhat-viet-nam-viettel-soan-ngoi-pvn-acb-lan-dau-lot-top-hoa-phat-tai-xuat-trong-khi-vib-va-fpt-bien-mat-188250912140632306.chn,CafeF
BCM,2025-09-01T00:03:00,"Lợi nhuận ngành bất động sản khu công nghiệp trái chiều: KBC, BCM báo lãi 'khủng' , vì sao IDICO (IDC) lại sụt giảm 43%?","Báo cáo tài chính nửa đầu năm 2025 của Tổng Công ty IDICO (IDC: HNX) cho thấy sự sụt giảm đáng kể về lợi nhuận, đặt trong bối cảnh nhiều đối thủ cùng ngành lại bứt phá mạnh mẽ.",https://cafef.vn/loi-nhuan-nganh-bat-dong-san-khu-cong-nghiep-trai-chieu-kbc-bcm-bao-lai-khung-vi-sao-idico-idc-lai-sut-giam-43-188250831224052716.chn,CafeF
BCM,2025-12-02 16:18,BCM: Nghị quyết HĐQT về việc góp tăng vốn điều lệ cho CTCP Becamex Bình Định,BCM: Nghị quyết HĐQT về việc góp tăng vốn điều lệ cho CTCP Becamex Bình Định,https://tcinvest.tcbs.com.vn/market-watch?symbol=BCM,TCBS
BCM,2025-12-02 14:14,BCM: Nghị quyết HĐQT về việc góp tăng vốn điều lệ cho CTCP PT Hạ tầng Kỹ thuật Becamex - Bình Phước,BCM: Nghị quyết HĐQT về việc góp tăng vốn điều lệ cho CTCP PT Hạ tầng Kỹ thuật Becamex - Bình Phước,https://tcinvest.tcbs.com.vn/market-watch?symbol=BCM,TCBS
BCM,2025-11-24 07:01,Becamex IDC (BCM) ráo riết huy động tài chính,Becamex IDC (BCM) ráo riết huy động tài chính,https://tcinvest.tcbs.com.vn/market-watch?symbol=BCM,TCBS
